num_servers,num_mbs,mbs_per_client,num_mcs,mc_size,exp_mc_size,num_routing_layers,num_parallel_msgs_for_routing,num_per_rs_layer,down_degree,num_parallel_messages,min_good_mc_size,min_good_rs_layer_size,num_idle
30,12,20,1,14,18,0,1,1,12,6,1,0,0
31,13,20,1,14,18,0,1,1,13,6,1,0,0
32,14,20,1,14,18,0,1,1,14,6,1,0,0
33,15,20,1,14,18,0,1,1,15,6,1,0,0
34,16,20,1,14,18,0,1,1,16,6,1,0,0
35,17,20,1,14,18,0,1,1,17,6,1,0,0
36,18,20,1,14,18,0,1,1,18,6,1,0,0
37,19,20,1,14,18,0,1,1,19,6,1,0,0
38,20,20,1,14,18,0,1,1,20,6,1,0,0
39,3,20,2,14,18,0,1,1,3,6,1,0,0
40,4,20,2,14,18,0,1,2,4,6,1,0,0
41,5,20,2,14,18,0,1,2,5,6,1,0,0
42,6,20,2,14,18,0,1,2,6,6,1,0,0
43,7,20,2,14,18,0,1,2,7,6,1,0,0
44,8,20,2,14,18,0,1,2,8,6,1,0,0
45,9,20,2,14,18,0,1,2,9,6,1,0,0
46,10,20,2,14,18,0,1,2,10,6,1,0,0
47,11,20,2,14,18,0,1,2,11,6,1,0,0
48,12,20,2,14,18,0,1,2,12,6,1,0,0
49,13,20,2,14,18,0,1,2,13,6,1,0,0
50,14,20,2,14,18,0,1,2,14,6,1,0,0
51,15,20,2,14,18,0,1,2,15,6,1,0,0
52,16,20,2,14,18,0,1,2,16,6,1,0,0
53,17,20,2,14,18,0,1,2,17,6,1,0,0
54,18,20,2,14,18,0,1,2,18,6,1,0,0
55,19,20,2,14,18,0,1,2,19,6,1,0,0
56,20,20,2,14,18,0,1,2,20,6,1,0,0
57,15,20,2,14,18,1,3,6,15,6,1,1,0
58,16,20,2,14,18,1,3,6,15,6,1,1,0
59,5,20,3,14,18,0,1,2,5,6,1,0,0
60,6,20,3,14,18,0,1,3,6,6,1,0,0
61,7,20,3,14,18,0,1,3,7,6,1,0,0
62,8,20,3,14,18,0,1,3,8,6,1,0,0
63,9,20,3,14,18,0,1,3,9,6,1,0,0
64,10,20,3,14,18,0,1,3,10,6,1,0,0
65,11,20,3,14,18,0,1,3,11,6,1,0,0
66,12,20,3,14,18,0,1,3,12,6,1,0,0
67,13,20,3,14,18,0,1,3,13,6,1,0,0
