num_servers,num_mbs,mbs_per_client,num_mcs,mc_size,exp_mc_size,num_routing_layers,num_parallel_msgs_for_routing,num_per_rs_layer,down_degree,num_parallel_messages,min_good_mc_size,min_good_rs_layer_size,num_idle
30,6,20,2,8,12,0,1,2,6,13,1,0,0
31,7,20,2,8,12,0,1,2,7,13,1,0,0
32,8,20,2,8,12,0,1,2,8,13,1,0,0
33,9,20,2,8,12,0,1,2,9,13,1,0,0
34,10,20,2,8,12,0,1,2,10,13,1,0,0
35,11,20,2,8,12,0,1,2,11,13,1,0,0
36,12,20,2,8,12,0,1,2,12,13,1,0,0
37,13,20,2,8,12,0,1,2,13,13,1,0,0
38,14,20,2,8,12,0,1,2,14,13,1,0,0
39,15,20,2,8,12,0,1,2,15,13,1,0,0
40,16,20,2,8,12,0,1,2,16,13,1,0,0
41,5,20,3,8,12,0,1,2,5,13,1,0,0
42,6,20,3,8,12,0,1,3,6,13,1,0,0
43,7,20,3,8,12,0,1,3,7,13,1,0,0
44,8,20,3,8,12,0,1,3,8,13,1,0,0
45,9,20,3,8,12,0,1,3,9,13,1,0,0
46,10,20,3,8,12,0,1,3,10,13,1,0,0
47,11,20,3,8,12,0,1,3,11,13,1,0,0
48,12,20,3,8,12,0,1,3,12,13,1,0,0
49,13,20,3,8,12,0,1,3,13,13,1,0,0
50,14,20,3,8,12,0,1,3,14,13,1,0,0
51,15,20,3,8,12,0,1,3,15,13,1,0,0
52,16,20,3,8,12,0,1,3,16,13,1,0,0
53,17,20,3,8,12,0,1,3,17,13,1,0,0
54,18,20,3,8,12,0,1,3,18,13,1,0,0
55,7,20,4,8,12,0,1,3,7,13,1,0,0
56,8,20,4,8,12,0,1,4,8,13,1,0,0
57,9,20,4,8,12,0,1,4,9,13,1,0,0
58,10,20,4,8,12,0,1,4,10,13,1,0,0
59,11,20,4,8,12,0,1,4,11,13,1,0,0
60,12,20,4,8,12,0,1,4,12,13,1,0,0
61,13,20,4,8,12,0,1,4,13,13,1,0,0
62,14,20,4,8,12,0,1,4,14,13,1,0,0
63,15,20,4,8,12,0,1,4,15,13,1,0,0
64,16,20,4,8,12,0,1,4,16,13,1,0,0
65,17,20,4,8,12,0,1,4,17,13,1,0,0
66,18,20,4,8,12,0,1,4,18,13,1,0,0
67,19,20,4,8,12,0,1,4,19,13,1,0,0
68,20,20,4,8,12,0,1,4,20,13,1,0,0
69,9,20,5,8,12,0,1,4,9,13,2,0,0
70,10,20,5,8,12,0,1,5,10,13,2,0,0
71,11,20,5,8,12,0,1,5,11,13,2,0,0
72,12,20,5,8,12,0,1,5,12,13,2,0,0
73,13,20,5,8,12,0,1,5,13,13,2,0,0
74,14,20,5,8,12,0,1,5,14,13,2,0,0
