num_servers,num_mbs,mbs_per_client,num_mcs,mc_size,exp_mc_size,num_routing_layers,num_parallel_msgs_for_routing,num_per_rs_layer,down_degree,num_parallel_messages,min_good_mc_size,min_good_rs_layer_size,num_idle
29,5,5,3,8,0,0,1,0,0,12,0,0,0
30,5,5,3,8,0,0,1,0,0,12,0,0,1
31,5,5,3,8,0,0,1,0,0,12,0,0,2
32,5,5,3,8,0,0,1,0,0,12,0,0,3
33,5,5,3,8,0,0,1,0,0,12,0,0,4
34,5,5,3,8,0,0,1,0,0,12,0,0,5
35,5,5,3,8,0,0,1,0,0,12,0,0,6
36,5,5,3,8,0,0,1,0,0,12,0,0,7
37,5,5,3,8,0,0,1,0,0,12,0,0,8
38,6,6,4,8,0,0,1,0,0,12,0,0,0
39,7,7,4,8,0,0,1,0,0,12,0,0,0
40,8,8,4,8,0,0,1,0,0,12,0,0,0
41,9,9,4,8,0,0,1,0,0,12,0,0,0
42,10,10,4,8,0,0,1,0,0,12,0,0,0
43,11,11,4,8,0,0,1,0,0,12,0,0,0
44,12,12,4,8,0,0,1,0,0,12,0,0,0
45,12,12,4,8,0,0,1,0,0,12,0,0,1
46,6,6,5,8,0,0,1,0,0,12,0,0,0
47,7,7,5,8,0,0,1,0,0,12,0,0,0
48,8,8,5,8,0,0,1,0,0,12,0,0,0
49,9,9,5,8,0,0,1,0,0,12,0,0,0
50,10,10,5,8,0,0,1,0,0,12,0,0,0
51,11,11,5,8,0,0,1,0,0,12,0,0,0
52,12,12,5,8,0,0,1,0,0,12,0,0,0
53,13,13,5,8,0,0,1,0,0,12,0,0,0
54,6,6,6,8,0,0,1,0,0,12,0,0,0
55,7,7,6,8,0,0,1,0,0,12,0,0,0
56,8,8,6,8,0,0,1,0,0,12,0,0,0
57,9,9,6,8,0,0,1,0,0,12,0,0,0
58,10,10,6,8,0,0,1,0,0,12,0,0,0
59,11,11,6,8,0,0,1,0,0,12,0,0,0
60,12,12,6,8,0,0,1,0,0,12,0,0,0
61,13,13,6,8,0,0,1,0,0,12,0,0,0
62,6,6,7,8,0,0,1,0,0,12,0,0,0
63,7,7,7,8,0,0,1,0,0,12,0,0,0
64,8,8,7,8,0,0,1,0,0,12,0,0,0
65,9,9,7,8,0,0,1,0,0,12,0,0,0
66,10,10,7,8,0,0,1,0,0,12,0,0,0
67,11,11,7,8,0,0,1,0,0,12,0,0,0
68,12,12,7,8,0,0,1,0,0,12,0,0,0
69,13,13,7,8,0,0,1,0,0,12,0,0,0
70,14,14,7,8,0,0,1,0,0,12,0,0,0
71,7,7,8,8,0,0,1,0,0,12,0,0,0
72,8,8,8,8,0,0,1,0,0,12,0,0,0
73,9,9,8,8,0,0,1,0,0,12,0,0,0
74,10,10,8,8,0,0,1,0,0,12,0,0,0
75,11,11,8,8,0,0,1,0,0,12,0,0,0
76,12,12,8,8,0,0,1,0,0,12,0,0,0
77,13,13,8,8,0,0,1,0,0,12,0,0,0
78,14,14,8,8,0,0,1,0,0,12,0,0,0
79,7,7,9,8,0,0,1,0,0,12,0,0,0
80,8,8,9,8,0,0,1,0,0,12,0,0,0
81,9,9,9,8,0,0,1,0,0,12,0,0,0
82,10,10,9,8,0,0,1,0,0,12,0,0,0
83,11,11,9,8,0,0,1,0,0,12,0,0,0
84,12,12,9,8,0,0,1,0,0,12,0,0,0
85,13,13,9,8,0,0,1,0,0,12,0,0,0
86,14,14,9,8,0,0,1,0,0,12,0,0,0
87,7,7,10,8,0,0,1,0,0,12,0,0,0
88,8,8,10,8,0,0,1,0,0,12,0,0,0
89,9,9,10,8,0,0,1,0,0,12,0,0,0
90,10,10,10,8,0,0,1,0,0,12,0,0,0
91,11,11,10,8,0,0,1,0,0,12,0,0,0
92,12,12,10,8,0,0,1,0,0,12,0,0,0
93,13,13,10,8,0,0,1,0,0,12,0,0,0
94,14,14,10,8,0,0,1,0,0,12,0,0,0
95,7,7,11,8,0,0,1,0,0,12,0,0,0
96,8,8,11,8,0,0,1,0,0,12,0,0,0
97,9,9,11,8,0,0,1,0,0,12,0,0,0
98,10,10,11,8,0,0,1,0,0,12,0,0,0
99,11,11,11,8,0,0,1,0,0,12,0,0,0
100,12,12,11,8,0,0,1,0,0,12,0,0,0
101,13,13,11,8,0,0,1,0,0,12,0,0,0
102,14,14,11,8,0,0,1,0,0,12,0,0,0
103,7,7,12,8,0,0,1,0,0,12,0,0,0
104,8,8,12,8,0,0,1,0,0,12,0,0,0
105,9,9,12,8,0,0,1,0,0,12,0,0,0
106,10,10,12,8,0,0,1,0,0,12,0,0,0
107,11,11,12,8,0,0,1,0,0,12,0,0,0
108,12,12,12,8,0,0,1,0,0,12,0,0,0
109,13,13,12,8,0,0,1,0,0,12,0,0,0
110,14,14,12,8,0,0,1,0,0,12,0,0,0
111,15,15,12,8,0,0,1,0,0,12,0,0,0
112,8,8,13,8,0,0,1,0,0,12,0,0,0
113,9,9,13,8,0,0,1,0,0,12,0,0,0
114,10,10,13,8,0,0,1,0,0,12,0,0,0
115,11,11,13,8,0,0,1,0,0,12,0,0,0
116,12,12,13,8,0,0,1,0,0,12,0,0,0
117,13,13,13,8,0,0,1,0,0,12,0,0,0
118,14,14,13,8,0,0,1,0,0,12,0,0,0
119,7,7,14,8,0,0,1,0,0,12,0,0,0
120,8,8,14,8,0,0,1,0,0,12,0,0,0
121,9,9,14,8,0,0,1,0,0,12,0,0,0
122,10,10,14,8,0,0,1,0,0,12,0,0,0
123,11,11,14,8,0,0,1,0,0,12,0,0,0
124,12,12,14,8,0,0,1,0,0,12,0,0,0
125,13,13,14,8,0,0,1,0,0,12,0,0,0
126,14,14,14,8,0,0,1,0,0,12,0,0,0
127,15,15,14,8,0,0,1,0,0,12,0,0,0
128,8,8,15,8,0,0,1,0,0,12,0,0,0
129,9,9,15,8,0,0,1,0,0,12,0,0,0
130,10,10,15,8,0,0,1,0,0,12,0,0,0
131,11,11,15,8,0,0,1,0,0,12,0,0,0
132,12,12,15,8,0,0,1,0,0,12,0,0,0
133,13,13,15,8,0,0,1,0,0,12,0,0,0
134,14,14,15,8,0,0,1,0,0,12,0,0,0
135,15,15,15,8,0,0,1,0,0,12,0,0,0
136,8,8,16,8,0,0,1,0,0,12,0,0,0
137,9,9,16,8,0,0,1,0,0,12,0,0,0
138,10,10,16,8,0,0,1,0,0,12,0,0,0
139,11,11,16,8,0,0,1,0,0,12,0,0,0
140,12,12,16,8,0,0,1,0,0,12,0,0,0
141,13,13,16,8,0,0,1,0,0,12,0,0,0
142,14,14,16,8,0,0,1,0,0,12,0,0,0
